Resp.nr;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11;x12;x13;x14
1;3;3;3;2;4;2;3;3;3;4;4;3;4;4
2;2;2;2;3;2;2;4;4;4;4;4;4;4;4
3;1;1;4;2;3;1;5;4;5;3;3;3;5;4
4;4;4;3;3;3;3;2;2;3;4;4;4;4;4
5;2;2;2;2;2;2;2;3;3;4;4;4;4;4
6;4;5;4;5;5;5;3;3;3;4;4;4;4;3
7;3;3;3;4;3;4;2;3;2;4;4;4;4;5
8;2;2;2;5;2;3;4;4;4;5;3;5;4;5
9;4;4;3;4;4;3;2;2;2;4;3;4;4;2
10;3;3;4;4;3;3;2;3;3;4;3;4;3;3
11;4;4;3;4;4;4;4;2;2;4;4;3;3;4
12;3;3;3;4;4;3;3;2;3;5;5;5;5;5
13;4;4;4;4;4;4;3;2;3;4;4;4;4;4
14;4;4;4;4;4;4;2;2;2;4;4;4;4;3
15;3;4;3;4;4;4;3;3;4;3;3;4;4;3
16;3;3;2;4;4;4;3;3;3;4;4;4;4;4
17;3;3;3;4;3;4;2;2;2;4;3;4;4;4
18;3;2;3;4;2;4;4;4;3;3;3;4;4;4
19;4;3;4;5;4;4;2;2;4;4;5;5;4;5
20;3;2;3;3;2;3;4;4;4;4;4;4;4;4
21;4;3;4;4;4;4;2;2;2;5;5;5;4;3
22;4;4;4;2;2;2;4;4;4;4;3;4;5;4
23;4;3;3;3;3;3;2;2;2;4;4;4;4;4
25;3;2;4;2;2;3;4;4;4;5;5;5;5;5
26;4;4;3;4;4;4;2;2;2;3;3;4;4;4
27;4;4;3;4;4;4;2;2;2;4;4;4;4;4
28;4;4;4;5;3;4;1;1;1;4;4;4;4;4
29;4;4;3;4;3;4;2;1;2;4;3;4;4;3
30;4;3;2;4;4;4;2;2;3;4;4;4;4;4
31;4;4;4;4;3;4;2;2;2;4;4;4;4;4
32;3;3;3;3;3;3;2;2;3;3;3;4;4;4
34;2;3;4;3;2;3;2;2;2;3;3;4;4;3
35;3;4;3;3;3;4;2;2;4;1;1;1;2;2
36;5;4;4;4;5;4;2;2;2;4;3;4;4;2
37;3;3;4;4;4;3;3;3;3;4;4;4;4;4
38;3;3;2;4;3;3;4;4;4;4;3;4;4;3
39;3;3;3;3;3;3;3;3;2;4;3;3;3;3
40;4;3;4;4;3;3;5;2;4;3;3;3;2;2
41;3;3;3;3;4;3;4;4;4;4;4;4;5;4
42;5;4;3;5;5;5;2;2;2;5;4;5;5;4
43;4;4;4;4;4;5;3;2;2;5;5;4;4;4
44;4;3;3;5;2;3;3;3;3;4;5;4;4;4
45;3;3;3;3;3;3;3;3;3;4;4;4;4;4
46;4;4;4;4;4;4;3;4;4;4;4;4;4;4
47;3;4;3;4;4;5;3;2;3;3;3;3;3;3
48;4;4;4;4;4;4;2;2;2;5;5;5;5;4
50;2;2;2;5;4;4;3;2;3;4;4;5;4;3
52;4;4;4;4;4;3;3;3;3;5;4;5;5;4
53;4;4;3;5;5;4;2;2;2;4;5;4;5;4
55;4;4;4;3;3;3;2;2;2;4;4;4;4;4
56;4;3;4;3;4;4;4;3;4;4;4;5;4;4
